Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo
MoG,0,0,-13604.47497002606,44.3959536498297
MoG0,-2.4571122516845687,3.0725175838687266,-13606.932082277764,44.42682749243861
MoGgp,-15.929748883269749,8.968227505414678,-13620.404718909316,43.37757303072491
LMM,-29.21743641066088,11.0879871562189,-13633.692406436732,43.89654789354504
MoGhigh,-29.26233204668773,10.04912854168942,-13633.73730207276,43.897628603819975
LMMvar,-30.225928843640695,11.055033558839542,-13634.700898869702,43.85821357486784
LMM0,-33.09873242765002,10.72352891697078,-13637.573702453705,44.04234247889774
